iter	Passed	Remaining
0	3	388
1	6	299
2	10	334
3	13	328
4	15	296
5	17	275
6	19	262
7	21	244
8	22	228
9	23	214
10	28	232
11	33	245
12	34	233
13	36	221
14	37	212
15	39	205
16	40	197
17	41	189
18	43	183
19	44	176
20	45	170
21	46	164
22	47	158
23	48	155
24	54	162
25	58	165
26	63	170
27	65	169
28	67	165
29	69	161
30	71	158
31	73	155
32	79	161
33	82	160
34	89	166
35	92	163
36	94	160
37	95	155
38	97	152
39	98	148
40	99	143
41	100	138
42	102	135
43	103	131
44	104	127
45	105	124
46	106	120
47	107	116
48	109	113
49	114	114
50	118	113
51	123	113
52	125	111
53	127	108
54	129	106
55	132	104
56	134	101
57	135	98
58	136	95
59	138	92
60	139	89
61	140	86
62	142	83
63	143	80
64	145	78
65	146	75
66	147	72
67	148	70
68	150	67
69	151	65
70	153	62
71	156	60
72	160	59
73	163	57
74	168	56
75	170	53
76	172	51
77	174	49
78	176	46
79	178	44
80	179	42
81	180	39
82	181	37
83	183	34
84	184	32
85	186	30
86	187	28
87	189	25
88	190	23
89	192	21
90	193	19
91	195	16
92	196	14
93	197	12
94	198	10
95	201	8
96	206	6
97	212	4
98	216	2
99	218	0
