iter	Passed	Remaining
0	1	1235
1	2	1196
2	3	1191
3	4	1222
4	6	1199
5	7	1182
6	8	1159
7	9	1165
8	10	1166
9	12	1194
10	13	1229
11	15	1236
12	16	1244
13	17	1251
14	19	1249
15	20	1240
16	21	1232
17	22	1225
18	23	1218
19	24	1214
20	25	1204
21	27	1207
22	28	1203
23	29	1206
24	31	1213
25	32	1210
26	33	1207
27	34	1204
28	35	1202
29	37	1200
30	38	1198
31	39	1196
32	40	1192
33	42	1209
34	43	1207
35	45	1207
36	46	1206
37	47	1201
38	48	1199
39	49	1195
40	50	1191
41	52	1188
42	53	1185
43	54	1183
44	55	1179
45	56	1174
46	57	1173
47	59	1176
48	61	1189
49	62	1186
50	63	1189
51	65	1186
52	66	1181
53	67	1182
54	68	1181
55	69	1179
56	71	1176
57	72	1178
58	74	1182
59	75	1182
60	76	1180
61	77	1176
62	78	1173
63	80	1173
64	81	1173
65	82	1171
66	83	1168
67	85	1166
68	86	1163
69	87	1161
70	89	1168
71	90	1171
72	92	1171
73	93	1171
74	94	1168
75	96	1168
76	97	1166
77	98	1168
78	100	1165
79	101	1163
80	102	1163
81	104	1173
82	105	1166
83	106	1165
84	108	1171
85	110	1171
86	111	1170
87	113	1172
88	114	1170
89	115	1168
90	117	1171
91	119	1174
92	120	1175
93	121	1173
94	122	1170
95	124	1169
96	125	1167
97	126	1164
98	127	1160
99	128	1158
100	129	1155
101	131	1155
102	133	1158
103	134	1160
104	135	1157
105	136	1155
106	138	1153
107	139	1150
108	140	1148
109	141	1145
110	142	1144
111	143	1140
112	144	1137
113	146	1137
114	148	1139
115	149	1139
116	150	1135
117	151	1133
118	152	1130
119	153	1127
120	154	1125
121	155	1121
122	156	1119
123	158	1117
124	159	1115
125	160	1113
126	161	1110
127	162	1109
128	164	1109
129	165	1107
130	166	1105
131	167	1104
132	169	1101
133	170	1099
134	171	1097
135	172	1095
136	173	1093
137	174	1091
138	175	1089
139	177	1088
140	178	1088
141	179	1085
142	180	1083
143	181	1081
144	183	1079
145	184	1077
146	185	1075
147	186	1073
148	187	1071
149	188	1070
150	190	1069
151	191	1068
152	193	1068
153	194	1067
154	195	1066
155	196	1064
156	197	1062
157	199	1062
158	200	1060
159	201	1058
160	202	1054
161	203	1053
162	204	1051
163	206	1051
164	207	1050
165	208	1049
166	209	1047
167	211	1046
168	212	1046
169	214	1045
170	215	1043
171	216	1041
172	217	1040
173	219	1040
174	220	1039
175	221	1037
176	222	1036
177	224	1035
178	225	1034
179	226	1033
180	228	1031
181	229	1029
182	230	1027
183	231	1025
184	232	1024
185	233	1021
186	234	1020
187	235	1018
188	236	1015
189	237	1013
190	239	1012
191	240	1012
192	241	1011
193	243	1009
194	244	1008
195	245	1007
196	246	1006
197	248	1005
198	249	1004
199	250	1002
200	251	1001
201	253	1000
202	254	999
203	255	998
204	257	996
205	258	995
206	259	993
207	260	992
208	262	991
209	263	990
210	264	989
211	265	987
212	266	986
213	268	985
214	269	985
215	271	984
216	272	982
217	273	980
218	274	980
219	276	979
220	277	978
221	278	976
222	279	975
223	281	974
224	282	972
225	283	972
226	285	970
227	286	969
228	287	967
229	288	966
230	289	964
231	291	963
232	292	961
233	293	960
234	294	958
235	295	957
236	296	955
237	298	954
238	299	953
239	300	952
240	301	950
241	303	951
242	305	950
243	306	949
244	307	948
245	309	947
246	310	946
247	311	945
248	313	944
249	314	943
250	315	941
251	316	940
252	317	938
253	319	937
254	320	935
255	321	934
256	322	933
257	323	931
258	325	930
259	326	928
260	327	927
261	329	927
